Longitud,Latitud,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septimbre,Octubre,Noviembre,Diciembre Media,Desviación
-179.750,71.250,-23.0º,-25.7º,-24.3º,-17.9º,-7.1º,-0.1º,1.8º,1.4º,-1.7º,-8.2º,-15.6º,-22.2º,-11.6º,0.30
-179.750,68.750,-26.0º,-28.7º,-26.7º,-20.0º,-7.8º,0.1º,3.0º,1.7º,-1.9º,-10.4º,-18.2º,-25.5º,-13.3º,0.10
-179.750,68.250,-25.9º,-27.6º,-25.9º,-19.3º,-8.6º,0.0º,2.9º,2.0º,-1.8º,-9.7º,-17.5º,-24.5º,-12.9º,0.10
-179.750,67.750,-24.1º,-25.0º,-23.5º,-17.1º,-7.7º,1.2º,4.5º,3.8º,-0.2º,-7.6º,-15.3º,-22.2º,-11.0º,0.10
-179.750,67.250,-24.8º,-24.8º,-24.0º,-17.4º,-9.1º,-0.4º,3.4º,3.0º,-1.6º,-8.4º,-16.0º,-22.4º,-11.7º,0.20
-179.750,66.750,-21.0º,-20.1º,-20.3º,-13.0º,-5.8º,2.6º,6.7º,6.8º,1.4º,-5.0º,-12.4º,-18.2º,-8.1º,0.10
-179.750,66.250,-19.2º,-17.9º,-19.1º,-11.0º,-4.2º,3.9º,8.2º,8.4º,2.5º,-3.5º,-11.0º,-16.2º,-6.5º,0.10
-179.750,65.750,-17.9º,-17.5º,-18.0º,-10.2º,-2.8º,5.2º,9.7º,9.6º,3.9º,-2.8º,-10.5º,-15.9º,-5.6º,0.00
-179.750,65.250,-17.5º,-18.2º,-17.9º,-10.8º,-2.3º,5.3º,10.1º,9.5º,4.1º,-3.5º,-11.2º,-16.6º,-5.6º,0.20
-179.750,-16.750,27.0º,27.2º,27.0º,26.7º,26.1º,25.4º,24.8º,24.8º,25.0º,25.7º,26.2º,26.7º,20.0º,-6.10
-179.750,-84.750,-18.5º,-26.9º,-37.9º,-42.7º,-44.0º,-43.8º,-47.7º,-47.9º,-46.8º,-38.0º,-27.1º,-18.5º,-36.7º,0.00
-179.750,-85.250,-23.6º,-32.5º,-43.8º,-48.4º,-49.6º,-49.5º,-53.0º,-53.1º,-52.3º,-43.5º,-32.4º,-23.6º,-42.2º,-0.10
-179.750,-85.750,-23.1º,-32.7º,-44.3º,-48.6º,-49.6º,-49.7º,-52.7º,-52.9º,-52.2º,-43.5º,-32.2º,-23.1º,-42.1º,0.00
-179.750,-86.250,-25.1º,-35.3º,-47.3º,-51.4º,-52.1º,-52.4º,-55.0º,-55.2º,-54.6º,-45.9º,-34.4º,-25.0º,-44.6º,-0.10
-179.750,-86.750,-26.8º,-37.6º,-50.0º,-53.8º,-54.4º,-54.8º,-57.0º,-57.2º,-56.7º,-48.2º,-36.5º,-26.7º,-46.7º,-0.10
-179.750,-87.250,-27.8º,-39.1º,-51.8º,-55.5º,-56.0º,-56.4º,-58.4º,-58.5º,-58.1º,-49.6º,-37.7º,-27.8º,-48.1º,0.00
-179.750,-87.750,-28.4º,-40.1º,-53.0º,-56.5º,-57.0º,-57.4º,-59.2º,-59.3º,-59.0º,-50.6º,-38.5º,-28.4º,-44.0º,4.90
-179.750,-88.250,-29.1º,-41.1º,-54.3º,-57.7º,-58.1º,-58.6º,-60.1º,-60.2º,-60.0º,-51.5º,-39.3º,-29.1º,-50.0º,-0.10
-179.750,-88.750,-29.1º,-41.3º,-54.6º,-58.1º,-58.3º,-58.8º,-60.3º,-60.3º,-60.2º,-51.6º,-39.5º,-29.0º,-52.2º,-2.10
-179.750,-89.250,-28.5º,-40.9º,-54.2º,-57.7º,-57.9º,-58.4º,-59.8º,-59.8º,-59.7º,-51.2º,-38.9º,-28.5º,-49.7º,-0.10
-179.750,-89.750,-27.7º,-40.2º,-53.6º,-57.0º,-57.2º,-57.7º,-59.1º,-59.1º,-59.0º,-50.5º,-38.1º,-27.7º,-49.0º,-0.10
-179.250,71.250,-23.5º,-26.2º,-24.8º,-18.3º,-7.6º,-0.4º,1.4º,1.0º,-2.2º,-8.7º,-16.2º,-22.7º,-12.1º,0.30
-179.250,68.750,-24.0º,-26.6º,-24.7º,-17.9º,-6.3º,2.1º,4.8º,3.6º,-0.1º,-8.4º,-16.1º,-23.2º,-11.4º,0.00
-179.250,68.250,-25.4º,-27.3º,-25.4º,-19.0º,-8.3º,0.3º,3.3º,2.3º,-1.5º,-9.4º,-17.1º,-24.2º,-14.5º,-1.90
-179.250,67.750,-24.7º,-25.8º,-23.9º,-18.0º,-8.4º,0.5º,3.7º,3.0º,-0.9º,-8.3º,-16.0º,-23.0º,-11.8º,0.00
-179.250,67.250,-22.5º,-22.6º,-21.3º,-15.4º,-6.9º,2.0º,5.6º,5.1º,0.9º,-6.1º,-13.6º,-20.2º,-9.5º,0.10
-179.250,66.750,-21.9º,-21.1º,-20.8º,-14.2º,-6.6º,1.8º,5.9º,5.8º,0.8º,-5.8º,-13.1º,-19.0º,-8.9º,0.10
-179.250,-84.750,-17.1º,-25.6º,-36.6º,-41.4º,-42.6º,-42.6º,-46.3º,-46.6º,-45.5º,-36.7º,-25.8º,-17.1º,-35.3º,0.00
-179.250,-85.250,-23.5º,-32.4º,-43.8º,-48.3º,-49.6º,-49.4º,-52.9º,-53.1º,-52.2º,-43.5º,-32.4º,-23.6º,-45.2º,-3.10
-179.250,-85.750,-23.0º,-32.5º,-44.1º,-48.4º,-49.4º,-49.4º,-52.6º,-52.7º,-52.0º,-43.3º,-32.0º,-22.9º,-42.0º,-0.10
